Time,X,Y
0.0,70,303
0.03333333333333333,70,303
0.06666666666666667,70,303
0.1,99,332
0.13333333333333333,99,332
0.16666666666666666,99,332
0.2,99,332
0.23333333333333334,99,332
0.26666666666666666,126,357
0.3,126,357
0.3333333333333333,126,357
0.36666666666666664,126,357
0.4,157,381
0.43333333333333335,157,381
0.4666666666666667,157,381
0.5,189,398
0.5333333333333333,189,398
0.5666666666666667,189,398
0.6,189,398
0.6333333333333333,216,412
0.6666666666666666,216,412
0.7,216,412
0.7333333333333333,216,412
0.7666666666666667,246,421
0.8,246,421
0.8333333333333334,246,421
0.8666666666666667,246,421
0.9,278,426
0.9333333333333333,278,426
0.9666666666666667,278,426
1.0,278,426
1.0333333333333334,278,426
1.0666666666666667,307,426
1.1,307,426
1.1333333333333333,307,426
1.1666666666666667,307,426
1.2,336,423
1.2333333333333334,336,423
1.2666666666666666,336,423
1.3,336,423
1.3333333333333333,367,415
1.3666666666666667,367,415
1.4,367,415
1.4333333333333333,367,415
1.4666666666666666,396,402
1.5,396,402
1.5333333333333334,396,402
1.5666666666666667,396,402
1.6,396,402
1.6333333333333333,429,385
1.6666666666666667,429,385
1.7,429,385
1.7333333333333334,429,385
1.7666666666666666,459,364
1.8,459,364
1.8333333333333333,459,364
1.8666666666666667,488,339
1.9,488,339
1.9333333333333333,488,339
1.9666666666666666,488,339
2.0,518,309
2.033333333333333,518,309
2.066666666666667,518,309
2.1,518,309
2.1333333333333333,546,278
2.1666666666666665,546,278
2.2,546,278
2.2333333333333334,546,278
2.2666666666666666,576,241
2.3,576,241
2.3333333333333335,576,241
2.3666666666666667,576,241
2.4,576,241
2.433333333333333,604,201
2.466666666666667,604,201
2.5,604,201
2.533333333333333,604,201
2.566666666666667,636,155
2.6,636,155
2.6333333333333333,635,155
2.6666666666666665,635,155
2.7,667,104
2.7333333333333334,667,104
2.7666666666666666,667,104
2.8,667,106
2.8333333333333335,701,43
2.8666666666666667,701,43
2.9,701,43
2.933333333333333,701,43
2.966666666666667,701,43
3.0,702,44
3.033333333333333,701,44
3.066666666666667,701,44
3.1,701,44
3.1333333333333333,701,44
3.1666666666666665,701,44
3.2,701,44
3.2333333333333334,701,44
3.2666666666666666,701,44
3.3,701,44
3.3333333333333335,701,44
3.3666666666666667,701,44
3.4,701,44
3.433333333333333,701,44
3.466666666666667,701,44
3.5,701,44
3.533333333333333,701,44
3.566666666666667,701,44
3.6,701,44
3.6333333333333333,701,44
3.6666666666666665,701,44
3.7,701,44
3.7333333333333334,701,44
3.7666666666666666,701,44
3.8,701,44
3.8333333333333335,701,44
3.8666666666666667,701,44
3.9,701,44
3.933333333333333,701,44
3.966666666666667,701,44
4.0,701,44
4.033333333333333,701,44
4.066666666666666,701,44
4.1,701,44
4.133333333333334,701,44
4.166666666666667,701,44
4.2,701,44
4.233333333333333,701,44
4.266666666666667,699,44
4.3,699,45
4.333333333333333,699,45
4.366666666666666,699,45
4.4,699,45
4.433333333333334,699,45
4.466666666666667,699,45
4.5,699,45
4.533333333333333,699,45
4.566666666666666,699,45
4.6,699,45
4.633333333333334,699,45
4.666666666666667,699,45
